0.09313;0.0
0.0904;0.1
0.08798;0.2
0.08554;0.3
0.08334;0.4
0.08096;0.5
0.07863;0.6
0.07654;0.70000005
0.07421;0.8000001
0.07186;0.9000001
0.0698;1.0000001
0.06771;1.1000001
0.0653;1.2000002
0.06334;1.3000002
0.06126;1.4000002
0.05908;1.5000002
0.05715;1.6000003
0.05523;1.7000003
0.05349;1.8000003
0.05134;1.9000003
0.04929;2.0000002
0.04752;2.1000001
0.04564;2.2
0.04407;2.3
0.04242;2.3999999
0.04079;2.4999998
0.03915;2.5999997
0.03754;2.6999996
0.03579;2.7999995
0.03461;2.8999994
0.03318;2.9999993
0.03177;3.0999992
0.03045;3.199999
0.02925;3.299999
0.02793;3.399999
0.02635;3.4999988
0.02517;3.5999987
0.02397;3.6999986
0.02257;3.7999985
0.02143;3.8999984
0.02028;3.9999983
0.01913;4.0999985
0.01812;4.1999984
0.01699;4.2999983
0.01601;4.399998
0.01512;4.499998
0.01418;4.599998
0.01341;4.699998
0.01261;4.799998
0.01196;4.8999977
0.01122;4.9999976
0.01048;5.0999975
0.00977;5.1999974
0.00908;5.2999973
0.00855;5.399997
0.00804;5.499997
0.00751;5.599997
0.0069;5.699997
0.0065;5.799997
0.00598;5.8999968
0.00558;5.9999967
0.00521;6.0999966
0.00478;6.1999965
0.0044;6.2999964
0.0041;6.3999963
0.00373;6.499996
0.00348;6.599996
0.00322;6.699996
0.00293;6.799996
0.00268;6.899996
0.00248;6.9999957
0.00229;7.0999956
0.00207;7.1999955
0.0019;7.2999954
0.00175;7.3999953
0.00159;7.499995
0.00146;7.599995
0.00125;7.699995
0.00111;7.799995
9.2E-4;7.899995
8.0E-4;7.9999948
7.3E-4;8.099995
6.6E-4;8.199995
5.9E-4;8.299995
5.0E-4;8.399996
4.4E-4;8.499996
3.6E-4;8.599997
3.3E-4;8.699997
3.1E-4;8.799997
2.7E-4;8.899998
2.5E-4;8.999998
2.1E-4;9.099998
1.9E-4;9.199999
1.6E-4;9.299999
1.3E-4;9.4
1.1E-4;9.5
1.0E-4;9.6
9.0E-5;9.700001
7.0E-5;9.800001
6.0E-5;9.900002
5.0E-5;10.000002
3.0E-5;10.100002
3.0E-5;10.200003
2.0E-5;10.300003
2.0E-5;10.400003
2.0E-5;10.500004
2.0E-5;10.600004
1.0E-5;10.700005
1.0E-5;10.800005
0.0;10.900005
0.0;11.000006
0.0;11.100006
0.0;11.2000065
0.0;11.300007
0.0;11.400007
0.0;11.500008
0.0;11.600008
0.0;11.700008
0.0;11.800009
0.0;11.900009
0.0;12.00001
0.0;12.10001
0.0;12.20001
0.0;12.300011
0.0;12.400011
0.0;12.500011
0.0;12.600012
0.0;12.700012
0.0;12.800013
0.0;12.900013
0.0;13.000013
0.0;13.100014
0.0;13.200014
0.0;13.3000145
0.0;13.400015
0.0;13.500015
0.0;13.600016
0.0;13.700016
0.0;13.800016
0.0;13.900017
0.0;14.000017
0.0;14.100018
0.0;14.200018
0.0;14.300018
0.0;14.400019
0.0;14.500019
0.0;14.600019
0.0;14.70002
0.0;14.80002
0.0;14.900021
0.0;15.000021
0.0;15.100021
0.0;15.200022
0.0;15.300022
0.0;15.4000225
0.0;15.500023
0.0;15.600023
